,EV,TS,P,Type,E1,D3,time1
174880,5972536,800001,100000,41018,0.0001867266044,0.0001867266044,86658.89863
176060,5973659,700001,100000,41018,0.0007090548136,0.0007090548136,342798.6237
176302,5973839,700001,100000,41018,0.0007033987271,0.0007033987271,6949.314121
177925,5975128,700001,100000,41018,0.001161397876,0.001161397876,9853.533624
178042,5975150,200001,100000,41018,0.0004939890243,0.0004939890243,207153.9282
178493,5975585,700001,100000,41018,0.0005349513062,0.0005349513062,38183.23251
178989,5975954,800001,100000,41018,0.001341048381,0.001341048381,61162.96775
179563,5976262,500001,100000,41018,0.0002648498084,0.0002648498084,173893.6078
180461,5976945,700001,100000,41018,0.0005942042252,0.0005942042252,162620.9888
180939,5977016,700001,100000,41018,0.0003336758683,0.0003336758683,14177.07314
182619,5978326,200001,100000,41018,0.0004804278404,0.0004804278404,174961.2429
182697,5978367,1000001,100000,41018,0.0003721833378,0.0003721833378,44522.38473
184607,5980208,500001,100000,41018,0.0004065034024,0.0004065034024,363457.1324
186881,5982167,700001,100000,41018,0.0002979005287,0.0002979005287,475303.5149
187372,5982581,1000001,100000,41018,0.001483310643,0.001483310643,72991.34578
188173,5983278,1000001,100000,41018,0.0005021200324,0.0005021200324,112829.9415
189395,5984327,700001,100000,41018,0.0005231740999,0.0005231740999,730693.2422
191024,5985736,800001,100000,41018,0.001592934945,0.001592934945,202345.2673
192366,5986491,900001,100000,41018,8.814515397e-05,8.814515397e-05,135797.6894
193425,5987218,800001,100000,41018,0.0002586423786,0.0002586423786,323899.7245
194065,5987451,600001,100000,41018,0.0001761683293,0.0001761683293,371325.1973
194319,5987636,600001,100000,41018,0.000405013039,0.000405013039,44025.92285
195063,5988116,400001,100000,41018,0.0001425421925,0.0001425421925,391724.717
196971,5989655,800001,100000,41018,0.001146369008,0.001146369008,757577.9228
197256,5989892,600001,100000,41018,6.032190233e-05,6.032190233e-05,8605.671094
